t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
109690,0.54054,-0.2072,0.66493,-0.46839,-0.22437,-1.1792,0.0813,76.68823,64.6347,62.45265
109730,0.52533,-0.16555,0.675,-0.48746,-0.31396,-1.13525,0.04688,87.40234,123.22998,67.07764
109775,0.50804,-0.10543,0.68861,-0.50321,-0.46436,-1.18506,0.00146,82.82471,134.94873,93.75
109815,0.4957,-0.04576,0.69814,-0.5113,-0.50879,-1.15137,0.03149,87.95166,118.46924,114.9292
109855,0.48847,0.01867,0.70358,-0.51249,-0.69287,-1.18311,-0.10791,87.52441,117.55371,141.60156
109895,0.4862,0.08547,0.70199,-0.51004,-0.75659,-1.0835,0.00708,90.33203,77.88086,158.93555
109935,0.4928,0.15116,0.68964,-0.50529,-0.81934,-1.10181,-0.09131,108.45947,70.61768,173.27881
109975,0.50099,0.22088,0.67154,-0.49586,-0.97021,-0.92822,0.09204,95.88623,44.49463,198.97461
110015,0.52059,0.28324,0.64149,-0.48362,-0.91943,-1.02173,-0.03223,103.02734,9.52148,205.99365
110054,0.53391,0.34645,0.61299,-0.46453,-1.14966,-0.99561,-0.31714,94.84863,23.55957,226.44043
110095,0.55096,0.40726,0.57244,-0.44667,-0.87793,-0.2627,-0.00293,78.43018,-8.30078,211.36475
110135,0.5737,0.45335,0.53149,-0.42367,-0.90552,-0.42896,-0.14868,73.30322,-26.30615,206.54297
110180,0.59445,0.50031,0.48243,-0.40026,-0.86963,-0.11304,-0.05737,55.48096,-40.52734,193.78662
110220,0.61507,0.52817,0.43771,-0.38439,-0.56274,-0.04712,-0.21997,41.38184,-66.22314,159.85107
110260,0.62343,0.55549,0.4057,-0.36714,-0.39746,0.21021,-0.03564,38.14697,-31.31104,107.60498
110300,0.63105,0.57405,0.38059,-0.35217,-0.04028,0.13599,-0.45435,10.25391,-27.64893,71.5332
110340,0.62382,0.59514,0.37611,-0.33441,-0.22192,0.59082,0.08301,21.60645,25.14648,19.59229
110385,0.62066,0.6025,0.38514,-0.31634,0.04028,0.23608,-0.1604,-14.5874,55.54199,-55.29785
110425,0.6126,0.60038,0.40612,-0.30977,0.03369,0.2749,-0.25415,-36.37695,21.05713,-99.97559
110465,0.58936,0.58471,0.45672,-0.31432,-0.13428,0,-0.28223,-61.03516,74.76807,-169.73877
110505,0.56547,0.54808,0.52159,-0.32315,-0.42749,-0.06836,-0.49365,-109.00879,29.23584,-209.77783
110545,0.54398,0.48265,0.59402,-0.33898,-0.31567,-0.38208,-0.73657,-138.24463,16.78467,-259.27734
110590,0.526,0.37731,0.66572,-0.3666,-0.89355,-0.6814,-0.74878,-182.92236,-78.00293,-282.77588
110630,0.52077,0.24653,0.72036,-0.38175,-0.40845,-1.10571,-0.5647,-244.20166,-77.27051,-316.71143
110670,0.49748,0.102,0.77562,-0.37033,-0.37231,-1.45239,-1.2439,-305.7251,-51.63574,-298.76709
110710,0.48941,-0.05845,0.79649,-0.34539,-0.6106,-1.99683,-1.05884,-336.18164,-185.72998,-302.18506
110754,0.48825,-0.23818,0.79247,-0.2711,-0.89893,-2.20776,-1.10718,-346.31348,-237.36572,-241.63818
110795,0.50843,-0.38131,0.74822,-0.18136,-0.55005,-2.30396,-1.19214,-375.67139,-299.92676,-147.33887
110835,0.53448,-0.49123,0.68152,-0.07191,-0.63794,-2.16602,-0.85059,-326.84326,-378.11279,-84.35059
110875,0.56449,-0.56694,0.59468,0.054,-0.08594,-2.02148,-0.91968,-291.3208,-357.23877,-15.99121
110915,0.5623,-0.60882,0.53913,0.13827,-0.41553,-1.76978,-0.78735,-188.17139,-185.11963,31.61621
110955,0.56914,-0.62365,0.48507,0.22019,-0.4043,-1.67773,-0.61157,-149.41406,-281.37207,59.93652
110995,0.57334,-0.61559,0.44357,0.30364,-0.2356,-1.68237,-0.41626,-98.20557,-196.41113,149.04785
111035,0.57245,-0.58681,0.42738,0.37673,-0.54077,-1.51245,0.04102,-51.3916,-189.81934,195.73975
111075,0.56971,-0.54293,0.41944,0.44873,-0.35596,-1.14795,-0.08228,-17.94434,-162.78076,212.64648
111115,0.55921,-0.50224,0.41975,0.50545,-0.27368,-0.69092,0.09473,-10.37598,-112.24365,185.60791
111154,0.54927,-0.47608,0.41869,0.54127,-0.14136,-0.2124,0.08325,-4.08936,-40.34424,120.36133
111195,0.53672,-0.45462,0.42593,0.5661,-0.26489,0.18774,0.19336,-11.59668,-2.0752,46.32568
111235,0.52962,-0.45875,0.41585,0.57684,-0.31763,-0.15869,0.2085,-49.62158,27.771,-9.09424
111280,0.52726,-0.48012,0.40556,0.56889,-0.70996,-0.15234,0.31616,-34.5459,45.8374,-39.24561
111320,0.52578,-0.50125,0.39671,0.55817,-0.96533,-0.24878,0.31079,-34.85107,31.61621,-37.41455
111360,0.52705,-0.51134,0.38762,0.55419,-0.92993,-0.18677,0.27441,-12.87842,10.25391,-20.08057
111400,0.52875,-0.51638,0.3843,0.55019,-0.97095,-0.0498,0.25586,-3.05176,13.73291,-19.89746
111440,0.52786,-0.52119,0.38681,0.54473,-1.05615,0.06543,0.14771,-0.67139,21.48438,-18.9209
111485,0.5271,-0.52787,0.38774,0.53833,-1.0647,0.02783,0.1748,-4.88281,18.31055,-26.61133
111525,0.52842,-0.53247,0.38663,0.53328,-0.98657,0.08521,0.12915,-3.41797,10.86426,-28.74756
111565,0.52856,-0.53899,0.38473,0.52795,-1.06494,-0.00708,0.15356,-6.40869,18.37158,-27.771
111605,0.52968,-0.54361,0.38324,0.52315,-1.09985,0.02832,0.1604,-3.54004,6.34766,-26.24512
111645,0.53129,-0.54605,0.38086,0.52071,-1.02466,-0.04004,0.18237,-3.479,2.13623,-20.08057
111690,0.53425,-0.54644,0.37956,0.51822,-0.99609,0.06763,0.18652,4.21143,6.10352,-20.38574
111730,0.53546,-0.54803,0.37862,0.51596,-0.99878,-0.0083,0.15161,-4.15039,5.24902,-21.91162
111770,0.53624,-0.54965,0.37836,0.51362,-1.02856,0.0332,0.13452,-0.79346,5.24902,-17.8833
111810,0.53638,-0.55215,0.37836,0.51078,-0.96948,-0.00903,0.10474,-1.09863,12.81738,-20.20264
111855,0.53511,-0.55704,0.37981,0.50569,-1.03516,-0.02319,0.1062,-2.68555,19.65332,-16.60156
111895,0.53346,-0.56075,0.38089,0.50253,-1.02344,-0.02124,0.09473,-4.82178,7.01904,-15.86914
111935,0.53317,-0.56282,0.38049,0.50081,-0.99072,-0.01782,0.11523,-4.3335,11.23047,-16.78467
111975,0.532,-0.56581,0.38104,0.49827,-0.97437,-0.00952,0.10449,-5.31006,17.33398,-16.54053
112015,0.52999,-0.56971,0.38152,0.4956,-1.01196,-0.05078,0.12646,-7.08008,11.41357,-15.93018
112060,0.5291,-0.57294,0.37996,0.49401,-0.99146,-0.02734,0.14355,-8.60596,12.63428,-17.76123
